Position	Library	Reads_aligned_prefiltering	Duplication_rate	Coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_5_percent_coverage	Reads_aligned_postfiltering	Quality
cluster14_well10	zeid_BLM_UV300s_hoechst3_cluster14_well10_S451_	5960781	34.00%	8.50%	5.10%	580	45.80%	41%	152	0.2	5372938	poor
cluster14_well11	zeid_BLM_UV300s_hoechst3_cluster14_well11_S452_	9809	28.70%	0.00%	0.00%	1	66.70%	45%	154	NA	8250	poor
cluster14_well12	zeid_BLM_UV300s_hoechst3_cluster14_well12_S453_	6281724	28.70%	9.80%	0.00%	632	92.90%	40%	152	0.19	5747038	poor
cluster14_well13	zeid_BLM_UV300s_hoechst3_cluster14_well13_S454_	7186797	32.10%	10.50%	3.50%	738	41.10%	40%	149	0.19	6497736	good
cluster14_well16	zeid_BLM_UV300s_hoechst3_cluster14_well16_S457_	20886	48.60%	0.00%	50.00%	1	45.80%	51%	50	NA	17250	poor
cluster14_well17	zeid_BLM_UV300s_hoechst3_cluster14_well17_S458_	547049	10.40%	1.10%	6.40%	72	47.80%	41%	151	0.36	493704	poor
cluster14_well18	zeid_BLM_UV300s_hoechst3_cluster14_well18_S459_	293374	51.00%	0.30%	8.60%	21	45.50%	42%	152	NA	258028	poor
cluster14_well19	zeid_BLM_UV300s_hoechst3_cluster14_well19_S460_	7681025	33.60%	11.10%	2.40%	771	32.30%	39%	152	0.19	6983410	good
cluster14_well20	zeid_BLM_UV300s_hoechst3_cluster14_well20_S461_	6845173	29.60%	10.40%	4.40%	723	44.20%	40%	149	0.19	6165130	poor
cluster14_well23	zeid_BLM_UV300s_hoechst3_cluster14_well23_S464_	2357900	36.30%	3.20%	4.40%	223	50.80%	42%	150	0.51	2121416	good
cluster14_well24	zeid_BLM_UV300s_hoechst3_cluster14_well24_S465_	3098463	17.60%	5.60%	2.60%	382	50.70%	39%	153	0.19	2829404	good
cluster14_well25	zeid_BLM_UV300s_hoechst3_cluster14_well25_S466_	7130265	8.40%	2.80%	30.00%	191	96.20%	39%	152	NA	1258506	poor
cluster14_well26	zeid_BLM_UV300s_hoechst3_cluster14_well26_S467_	3149865	15.00%	5.80%	12.90%	375	54.10%	40%	150	0.18	2865402	poor
cluster14_well27	zeid_BLM_UV300s_hoechst3_cluster14_well27_S468_	2876321	21.50%	5.00%	2.10%	338	46.80%	38%	156	0.2	2632328	good
cluster14_well30	zeid_BLM_UV300s_hoechst3_cluster14_well30_S471_	2384453	18.00%	4.30%	3.30%	295	44.40%	40%	151	0.2	2171632	poor
cluster14_well31	zeid_BLM_UV300s_hoechst3_cluster14_well31_S472_	75373	52.30%	0.10%	36.40%	5	57.70%	44%	154	NA	62914	poor
