Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
fucci-wt-negctrl-f8-r7-c7_S441_	e	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r1-c1_S393_	e	NA	2476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r1-c2_S394_	e	NA	2500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r1-c3_S395_	e	NA	1522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r1-c4_S396_	e	NA	2062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r1-c5_S397_	e	NA	1412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r1-c6_S398_	a	5016674	4287432	39.50%	6.30%	6.50%	423	24.70%	48.00%	149	NA	0.00%	4.60%	0.0308174
fucci-wt-single-f8-r1-c7_S399_	e	NA	198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r2-c1_S400_	e	NA	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r2-c2_S401_	e	NA	558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r2-c3_S402_	e	NA	2180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r2-c4_S403_	e	NA	1456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r2-c5_S404_	e	NA	1406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r2-c6_S405_	e	NA	1634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r2-c7_S406_	e	NA	1080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r3-c1_S407_	e	NA	448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r3-c2_S408_	e	NA	802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r3-c3_S409_	e	NA	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r3-c4_S410_	e	NA	862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r3-c5_S411_	e	NA	2274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r3-c6_S412_	e	NA	1732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r3-c7_S413_	e	NA	504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r4-c1_S414_	e	NA	698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r4-c2_S415_	e	NA	616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r4-c3_S416_	e	NA	710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r4-c4_S417_	e	NA	2328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r4-c5_S418_	e	NA	1464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r4-c6_S419_	e	NA	722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r4-c7_S420_	e	NA	272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r5-c1_S421_	e	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r5-c2_S422_	e	NA	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r5-c3_S423_	p	1879579	1621548	17.40%	3.20%	7.80%	219	27.30%	47.00%	150	NA	0.00%	2.80%	0
fucci-wt-single-f8-r5-c4_S424_	a	29448	25988	1.30%	0.10%	5.50%	4	12.00%	44.00%	148	NA	0.00%	0.10%	0
fucci-wt-single-f8-r5-c5_S425_	e	NA	1124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r5-c6_S426_	e	NA	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r5-c7_S427_	e	NA	534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r6-c1_S428_	e	NA	636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r6-c2_S429_	e	NA	1276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r6-c3_S430_	e	NA	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r6-c4_S431_	e	NA	238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r6-c5_S432_	e	NA	446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r6-c6_S433_	e	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r6-c7_S434_	e	NA	640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r7-c1_S435_	e	NA	1088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r7-c2_S436_	e	NA	648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r7-c3_S437_	e	NA	370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fucci-wt-single-f8-r7-c4_S438_	e	NA	1260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
