Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm-1-negctrl-f5-r7-c7_S49_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-negctrl-f6-r7-c7_S98_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-negctrl-f7-r7-c7_S147_	poor	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blm-1-single-f5-r1-c1_S1_	good	2545985	2329974	35.0%	3.7%	1.6%	248	21.6%	39.0%	152	NA	0.0%	2.7%	0.0571924
blm-1-single-f5-r1-c2_S2_	good	2153220	1960178	33.6%	3.2%	1.0%	212	22.0%	39.0%	152	0.45	0.0%	2.3%	0.0337114
blm-1-single-f5-r1-c3_S3_	good	1292634	1184256	32.2%	1.9%	1.5%	131	17.8%	40.0%	151	NA	0.0%	1.0%	0
blm-1-single-f5-r1-c4_S4_	poor	173720	138954	26.7%	0.2%	4.4%	16	10.0%	50.0%	95	NA	0.0%	0.2%	0
blm-1-single-f5-r1-c5_S5_	acceptable	179947	146208	31.2%	0.2%	5.1%	16	10.3%	50.0%	93	NA	0.0%	0.2%	0
blm-1-single-f5-r1-c6_S6_	acceptable	216359	176330	32.3%	0.3%	4.8%	19	10.7%	50.0%	93	NA	0.0%	0.3%	0
blm-1-single-f5-r1-c7_S7_	acceptable	251678	206124	32.8%	0.3%	6.2%	21	10.3%	49.0%	94	NA	0.0%	0.6%	0
blm-1-single-f5-r2-c1_S8_	good	1404519	1264602	30.5%	2.1%	3.7%	154	13.6%	39.0%	150	NA	0.0%	1.8%	0
blm-1-single-f5-r2-c2_S9_	poor	98587	72050	19.1%	0.1%	9.4%	8	20.0%	50.0%	91	NA	0.0%	0.2%	0
blm-1-single-f5-r2-c3_S10_	shallow	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
