Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
fucci-wt-negctrl-f11-r7-c7_S147_	poor	1584	1196	0.8%	0.0%	0.0%	0	30.4%	41.0%	149	NA	0.00%	0.00%	0
fucci-wt-negctrl-f12-r7-c7_S196_	poor	<5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
fucci-wt-negctrl-f7-r7-c7_S49_	poor	3469	2790	0.6%	0.0%	0.0%	0	78.3%	41.0%	150	NA	0.00%	0.06%	0
fucci-wt-negctrl-f8-r7-c7_S98_	poor	2089	1720	0.3%	0.0%	50.0%	0	58.3%	45.0%	154	NA	0.00%	0.00%	0
fucci-wt-single-f11-r1-c1_S99_	poor	2313	2078	0.9%	0.0%	4.9%	0	4.3%	44.0%	164	NA	0.00%	0.00%	0
fucci-wt-single-f11-r1-c2_S100_	good	745266	678208	9.4%	1.5%	2.0%	101	14.3%	41.0%	154	NA	0.00%	1.72%	0
fucci-wt-single-f11-r1-c3_S101_	brdu	646995	597306	10.8%	1.3%	16.3%	85	41.5%	43.0%	155	0.28	0.00%	1.95%	0
fucci-wt-single-f11-r1-c4_S102_	brdu	574967	527172	12.9%	1.1%	4.9%	74	27.1%	38.0%	170	0.4	0.00%	0.59%	0
fucci-wt-single-f11-r1-c5_S103_	poor	<5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
fucci-wt-single-f11-r1-c6_S104_	good	1060168	959796	11.3%	2.1%	1.7%	141	15.2%	41.0%	152	0.22	0.00%	2.24%	0
fucci-wt-single-f11-r1-c7_S105_	good	758145	687296	8.1%	1.5%	1.1%	104	19.2%	41.0%	155	0.22	0.00%	1.07%	0
fucci-wt-single-f11-r2-c1_S106_	brdu	1172727	1079926	14.2%	2.3%	9.1%	138	42.0%	41.0%	153	0.23	0.00%	2.66%	0
fucci-wt-single-f11-r2-c2_S107_	acceptable	300297	273428	5.3%	0.6%	2.7%	42	11.8%	40.0%	153	0.27	0.00%	0.83%	0
fucci-wt-single-f11-r2-c3_S108_	good	1157391	1062118	13.1%	2.3%	0.9%	155	20.7%	40.0%	156	NA	0.00%	1.66%	0
fucci-wt-single-f11-r2-c4_S109_	brdu	538087	492248	11.4%	1.1%	13.3%	65	18.4%	43.0%	154	NA	0.00%	0.89%	0
fucci-wt-single-f11-r2-c5_S110_	brdu	582926	534024	7.9%	1.2%	9.0%	76	26.5%	42.0%	154	0.24	0.00%	0.65%	0
fucci-wt-single-f11-r2-c6_S111_	good	1072069	975836	13.7%	2.1%	0.9%	140	20.0%	40.0%	155	0.25	0.00%	1.18%	0
fucci-wt-single-f11-r2-c7_S112_	good	625466	574170	12.5%	1.2%	1.5%	85	15.4%	39.0%	155	NA	0.00%	1.01%	0
fucci-wt-single-f11-r3-c1_S113_	brdu	315688	287874	6.3%	0.7%	6.4%	43	16.7%	43.0%	160	0.3	0.00%	0.95%	0
fucci-wt-single-f11-r3-c2_S114_	brdu	616720	562406	7.5%	1.3%	3.5%	85	27.9%	39.0%	155	0.23	0.00%	0.71%	0
fucci-wt-single-f11-r3-c3_S115_	poor	8582	7862	2.0%	0.0%	3.4%	1	0.0%	39.0%	177	NA	0.00%	0.06%	0
fucci-wt-single-f11-r3-c4_S116_	acceptable	413227	379838	7.2%	0.9%	0.9%	60	17.1%	42.0%	165	NA	0.00%	0.83%	0
fucci-wt-single-f11-r3-c5_S117_	good	884246	807386	10.6%	1.8%	1.0%	119	11.4%	41.0%	156	0.23	0.00%	1.30%	0
fucci-wt-single-f11-r3-c6_S118_	poor	83970	73928	14.5%	0.2%	2.2%	10	7.1%	46.0%	157	NA	0.00%	0.12%	0
fucci-wt-single-f11-r3-c7_S119_	good	444301	403368	5.9%	0.9%	1.6%	62	17.8%	41.0%	154	0.23	0.00%	0.83%	0
fucci-wt-single-f11-r4-c1_S120_	good	478440	434116	6.4%	1.0%	1.3%	66	9.5%	42.0%	152	NA	0.00%	1.01%	0
fucci-wt-single-f11-r4-c2_S121_	good	505480	461160	7.2%	1.0%	1.0%	71	14.0%	40.0%	155	0.24	0.00%	0.77%	0
fucci-wt-single-f11-r4-c3_S122_	brdu	401820	368654	6.6%	0.8%	1.6%	65	11.6%	42.0%	156	0.27	0.00%	0.83%	0
fucci-wt-single-f11-r4-c4_S123_	brdu	1714229	1572300	16.7%	3.2%	8.9%	199	34.5%	41.0%	153	0.21	0.00%	1.54%	0
fucci-wt-single-f11-r4-c5_S124_	good	622646	569888	11.1%	1.2%	1.0%	83	18.6%	40.0%	155	0.29	0.00%	0.53%	0
fucci-wt-single-f11-r4-c6_S125_	acceptable	418809	383094	9.6%	0.8%	1.0%	56	14.6%	40.0%	167	0.43	0.00%	0.77%	0
fucci-wt-single-f11-r4-c7_S126_	acceptable	328574	300960	5.6%	0.7%	1.5%	47	16.2%	41.0%	154	0.27	0.00%	0.41%	0
fucci-wt-single-f11-r5-c1_S127_	poor	8394	7670	1.3%	0.0%	2.0%	1	8.7%	40.0%	156	NA	0.00%	0.00%	0
fucci-wt-single-f11-r5-c2_S128_	acceptable	382851	345936	4.9%	0.8%	1.4%	54	12.5%	43.0%	152	NA	0.00%	0.65%	0
fucci-wt-single-f11-r5-c3_S129_	good	1309750	1191880	13.2%	2.5%	0.8%	171	18.9%	41.0%	152	0.22	0.00%	2.13%	0
fucci-wt-single-f11-r5-c4_S130_	good	1146093	1049324	14.3%	2.2%	1.4%	149	20.8%	39.0%	154	NA	0.00%	1.78%	0.125654
