Library	Reads	Sequencing_for_0.05x_cov	Background	Reads_per_Mb	Quality	Mode_insert_size	Mode_GC	Percent_WC	Naive_coverage	Duplication_rate	complexity	coverage	spikiness	entropy
blm_recq5-1-negctrl-c13-w25_.trimmed.mdup.bam	16	2	0	0	shallow	77	63	NA	0	25	NA	3.93422060728104e-07	2	1.79175946922805
blm_recq5-1-negctrl-c14-w25_.trimmed.mdup.bam	40	2	0	0	shallow	58	40	NA	0	25	136.694054992609	9.4421294574745e-07	2	2.70805020110221
blm_recq5-1-single-c13-w1_.trimmed.mdup.bam	835396	0.23	29.4	121	poor	152	46	59.4	1.8	11.7	284306.610736303	0.000896580381632811	0.552558608520292	7.74770299130101
blm_recq5-1-single-c13-w10_.trimmed.mdup.bam	55570	2	2.7	8	poor	157	43	11.1	0.1	9.9	550330.15865533	0.00136318477413132	0.464157198884082	7.75856557340797
blm_recq5-1-single-c13-w11_.trimmed.mdup.bam	55312	2	6.7	8	poor	152	49	14.8	0.1	12.7	408800.259938008	0.00135556501451563	0.419124105910403	7.78082462698292
blm_recq5-1-single-c13-w12_.trimmed.mdup.bam	139794	2	3	20	poor	151	43	3.3	0.3	11.3	1189297.48682477	0.00342856446104592	0.277090991899541	7.89624032920647
blm_recq5-1-single-c13-w13_.trimmed.mdup.bam	47898	2	2.9	6	poor	151	48	16	0.1	13.8	320087.946946092	0.00117433473748603	0.451975194101274	7.84416926098667
blm_recq5-1-single-c13-w14_.trimmed.mdup.bam	71184	2	3.4	9	poor	154	46	14.8	0.1	15.3	419922.612452795	0.00174572280545427	0.36835587093319	7.87186742151495
blm_recq5-1-single-c13-w15_.trimmed.mdup.bam	84548	2	5.9	12	poor	153	46	19.2	0.2	10.3	798845.25874342	0.00207360560792755	0.336595744680851	7.88118747971807
blm_recq5-1-single-c13-w16_.trimmed.mdup.bam	38696	2	1.8	5	poor	156	47	4.3	0.1	12	302465.684550132	0.000948999418917559	0.472251867662753	7.83232644580334
blm_recq5-1-single-c13-w17_.trimmed.mdup.bam	33872	2	4.7	5	poor	154	45	14.3	0.1	6.6	506281.00568668	0.000830661301092198	0.526983720035893	7.71498632040733
blm_recq5-1-single-c13-w18_.trimmed.mdup.bam	206174	0.82	4.8	30	poor	150	41	16.3	0.4	10.7	1850463.79300649	0.00505693901800787	0.268872055346353	7.87661389235078
blm_recq5-1-single-c13-w19_.trimmed.mdup.bam	65772	2	4.3	9	poor	154	49	7.4	0.1	15	407514.910589252	0.00161266325506188	0.386584353225748	7.86132401324579
blm_recq5-1-single-c13-w2_.trimmed.mdup.bam	806808	0.23	36.2	115	poor	151	46	57.1	1.7	11.4	272366.102877537	0.000957076713818681	0.47790683750449	7.81345687116351
